SEG_ID,START_POINT,END_POINT,COUNT
228.0,POINT (466321.4 4434163.9),POINT (466322.7 4434152.8),14
228.0,POINT (466322.7 4434152.8),POINT (466321.4 4434163.9),2
229.0,POINT (466320.4 4434172.3),POINT (466321.4 4434163.9),40
229.0,POINT (466321.4 4434163.9),POINT (466320.4 4434172.3),2
230.0,POINT (466311.1 4434252.1),POINT (466320.4 4434172.3),34
230.0,POINT (466320.4 4434172.3),POINT (466311.1 4434252.1),2
231.0,POINT (466309.4 4434267),POINT (466311.1 4434252.1),34
231.0,POINT (466311.1 4434252.1),POINT (466309.4 4434267),2
232.0,POINT (466307.6 4434282.1),POINT (466309.4 4434267),33
232.0,POINT (466309.4 4434267),POINT (466307.6 4434282.1),2
233.0,POINT (466302.9 4434323.3),POINT (466307.6 4434282.1),15
233.0,POINT (466307.6 4434282.1),POINT (466302.9 4434323.3),2
234.0,POINT (466298.3 4434362.9),POINT (466302.9 4434323.3),14
234.0,POINT (466302.9 4434323.3),POINT (466298.3 4434362.9),2
235.0,POINT (466296.5 4434378.4),POINT (466298.3 4434362.9),15
235.0,POINT (466298.3 4434362.9),POINT (466296.5 4434378.4),2
236.0,POINT (466294 4434400),POINT (466296.5 4434378.4),15
236.0,POINT (466296.5 4434378.4),POINT (466294 4434400),2
237.0,POINT (466292.1 4434415.9),POINT (466294 4434400),16
237.0,POINT (466294 4434400),POINT (466292.1 4434415.9),2
238.0,POINT (466290.7 4434426.3),POINT (466292.1 4434415.9),16
238.0,POINT (466292.1 4434415.9),POINT (466290.7 4434426.3),2
239.0,POINT (466289 4434442.4),POINT (466290.7 4434426.3),16
239.0,POINT (466290.7 4434426.3),POINT (466289 4434442.4),2
240.0,POINT (466283.3 4434491.1),POINT (466289 4434442.4),15
240.0,POINT (466289 4434442.4),POINT (466283.3 4434491.1),2
241.0,POINT (466282.8 4434495.9),POINT (466283.3 4434491.1),16
241.0,POINT (466283.3 4434491.1),POINT (466282.8 4434495.9),2
242.0,POINT (466277.8 4434538.7),POINT (466282.3 4434500.8),12
242.0,POINT (466282.3 4434500.8),POINT (466277.8 4434538.7),2
243.0,POINT (466273.6 4434578.2),POINT (466277.8 4434538.7),11
243.0,POINT (466277.8 4434538.7),POINT (466273.6 4434578.2),2
